"","ID","site","Date_prel","Date_labo","parcelle","horizon","MSr.105øC","MS.105øC..g...100.g.MB.","pH.eau","pH.KCL","N.Dumas..g.kg.MS105.","N.Dumas..g.kg.sec.","C.orga..g.100g.MS105.","C.orga..g.100g.sec.","P.O.Dabin..mg.kg.MS105.","P.O.Dabin..mg.kg.sec.","CEC","Ca..ch","Mg..ch","K..ch","Na..ch","nølabo","Code_site","Parcelle","C.org1er","C.org2em","C.org2em3","C.orgNC","C.org","traitement","bloc","SOL","Date_prelevement","Date2","Date3","date_test","horizon_num","trai_num"
"1",1,"LYC","15/12/2008","16/12/2008",1,"0-30 cm","0.979",NA,7.14,6.11,NA,"1.343",NA,"1.394",NA,"144.368","7.106","4.57","1.885","0.567","0.262",91850,"0-LYC",1,1.394,0,0,1.394,1.394,"5-Com72",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,5
"2",2,"LYC","15/12/2008","16/12/2008",2,"0-30 cm","0.977",NA,6.34,6.28,NA,"1.131",NA,"1.102",NA,"110.324","4.944","3.304","1.338","0.219","0.2",91851,"0-LYC",2,1.102,0,0,1.102,1.102,"1- Min70",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,1
"3",3,"LYC","15/12/2008","16/12/2008",3,"0-30 cm","0.974",NA,7.29,6.24,NA,"1.384",NA,"1.423",NA,"143.131","7.574","4.668","2.277","0.749","0.217",91852,"0-LYC",3,1.423,0,0,1.423,1.423,"6-Com12",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,6
"4",4,"LYC","15/12/2008","16/12/2008",4,"0-30 cm","0.975",NA,7.77,6.56,NA,"1.413",NA,"1.41",NA,"133.962","7.887","3.848","2.549","1.553","0.148",91853,"0-LYC",4,1.41,0,0,1.41,1.41,"3-Lis40",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,3
"5",5,"LYC","15/12/2008","16/12/2008",5,"0-30 cm","0.975",NA,6.75,5.34,NA,"1.063",NA,"1.083",NA,"64.889","5.06","3.096","1.537","0.198","0.214",91854,"0-LYC",5,1.083,0,0,1.083,1.083,"0-Temoin",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,0
"6",6,"LYC","15/12/2008","16/12/2008",6,"0-30 cm","0.972",NA,6.9,5.91,NA,"1.483",NA,"1.565",NA,"112.177","7.45","4.835","2.202","0.399","0.19",91855,"0-LYC",6,1.565,0,0,1.565,1.565,"9-Mix1248",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,9
"7",7,"LYC","15/12/2008","16/12/2008",7,"0-30 cm","0.973",NA,7.12,6.04,NA,"1.568",NA,"1.524",NA,"176.449","8.062","4.184","2.769","1.095","0.111",91856,"0-LYC",7,1.524,0,0,1.524,1.524,"8-Mix4070",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,8
"8",8,"LYC","15/12/2008","16/12/2008",8,"0-30 cm","0.972",NA,5.64,4.57,NA,"1.376",NA,"1.322",NA,"110.98","3.993","2.499","1.19","0.08","0.096",91857,"0-LYC",8,1.322,0,0,1.322,1.322,"2-Min120",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,2
"9",9,"LYC","15/12/2008","16/12/2008",9,"0-30 cm","0.969",NA,7.29,6.42,NA,"1.803",NA,"1.751",NA,"338.758","10.27","5.715","3.868","2.085","0.132",91858,"0-LYC",9,1.751,0,0,1.751,1.751,"4-Lis70",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,4
"10",10,"LYC","15/12/2008","16/12/2008",10,"0-30 cm","0.976",NA,6.43,5.5,NA,"1.621",NA,"1.656",NA,"192.5","7.4","4.641","2.067","0.434","0.194",91859,"0-LYC",10,1.656,0,0,1.656,1.656,"7-Mix72",1,"arénosol",2008-12-15,"2008",2008-10-10,4,3,7
