"","V1","V2","V3","V4","V5","V6","V7","V8","initiale","err_initiale"
"1",1,1.18,1.08,1.08666666666667,0.0901849950564579,0.052068331172711,2004,0,1.08666666666667,0.189032625050104
"2",1.05,0.95,0.95,0.983333333333333,0.0577350269189626,0.0333333333333334,2004,1,0.983333333333333,0.189032625050104
"3",1.18,1.08,1.15,1.13666666666667,0.0513160143944688,0.0296273147243853,2004,2,1.13666666666667,0.189032625050104
"4",1.13,0.95,0.96,1.01333333333333,0.101159939369957,0.0584047182264508,2004,3,1.01333333333333,0.189032625050104
"5",1.32,1.04,1.38,1.24666666666667,0.181475434517549,0.104774890970011,2004,4,1.24666666666667,0.189032625050104
"6",0.96,1.13,1.17,1.08666666666667,0.111504857891185,0.0643773597194265,2004,5,1.08666666666667,0.189032625050104
"7",1.15,1.07,1.06,1.09333333333333,0.0493288286231624,0.0284800124843917,2004,6,1.09333333333333,0.189032625050104
"8",1.3,1.15,1.17,1.20666666666667,0.0814452781524709,0.047022453265553,2004,7,1.20666666666667,0.189032625050104
"9",1.17,1.02,1.07,1.08666666666667,0.0763762615825973,0.0440958551844098,2004,8,1.08666666666667,0.189032625050104
"10",1.05,1.41,1.13,1.19666666666667,0.189032625050104,0.109138036958299,2004,9,1.19666666666667,0.189032625050104
"11",0.94,1.11,1.15,1.06666666666667,0.111504857891185,0.0643773597194266,2005,0,1.08666666666667,0.189032625050104
"12",1.04,0.89,0.96,0.963333333333333,0.0750555349946514,0.0433333333333333,2005,1,0.983333333333333,0.189032625050104
"13",1.1,0.99,1.12,1.07,0.0700000000000001,0.0404145188432738,2005,2,1.13666666666667,0.189032625050104
"14",1.11,1.06,1.12,1.09666666666667,0.0321455025366432,0.0185592145427668,2005,3,1.01333333333333,0.189032625050104
"15",1.48,1.28,1.71,1.49,0.2151743479135,0.124230967690561,2005,4,1.24666666666667,0.189032625050104
"16",1.24,1.61,1.08,1.31,0.271845544381364,0.156950098226581,2005,5,1.08666666666667,0.189032625050104
"17",1.15,1.14,1.17,1.15333333333333,0.0152752523165195,0.00881917103688198,2005,6,1.09333333333333,0.189032625050104
"18",1.36,1.16,1.11,1.21,0.13228756555323,0.0763762615825974,2005,7,1.20666666666667,0.189032625050104
"19",1.27,1.01,1.14,1.14,0.13,0.0750555349946514,2005,8,1.08666666666667,0.189032625050104
"20",1.27,1.27,1.12,1.22,0.0866025403784438,0.05,2005,9,1.19666666666667,0.189032625050104
"21",1.01,1.08,1.08,1.05666666666667,0.0404145188432738,0.0233333333333334,2006,0,1.08666666666667,0.189032625050104
"22",1.08,0.93,0.96,0.99,0.0793725393319377,0.0458257569495584,2006,1,0.983333333333333,0.189032625050104
"23",1.21,1.04,1.11,1.12,0.0854400374531753,0.0493288286231625,2006,2,1.13666666666667,0.189032625050104
"24",1.28,1.14,1.2,1.20666666666667,0.070237691685685,0.0405517502019882,2006,3,1.01333333333333,0.189032625050104
"25",1.46,1.35,1.66,1.49,0.157162336455017,0.0907377172587746,2006,4,1.24666666666667,0.189032625050104
"26",1.24,1.17,1.17,1.19333333333333,0.0404145188432738,0.0233333333333334,2006,5,1.08666666666667,0.189032625050104
"27",1.4,1.29,1.32,1.33666666666667,0.0568624070307732,0.032829526005987,2006,6,1.09333333333333,0.189032625050104
"28",1.42,1.25,1.39,1.35333333333333,0.0907377172587746,0.0523874454850057,2006,7,1.20666666666667,0.189032625050104
"29",1.29,1.08,1.26,1.21,0.113578166916005,0.06557438524302,2006,8,1.08666666666667,0.189032625050104
"30",1.4,1.53,1.28,1.40333333333333,0.125033328890074,0.0721880260923591,2006,9,1.19666666666667,0.189032625050104
"31",0.89,1.07,1,0.986666666666667,0.0907377172587747,0.0523874454850057,2007,0,1.08666666666667,0.189032625050104
"32",1.04,0.85,1.01,0.966666666666667,0.102143689640297,0.0589726867098471,2007,1,0.983333333333333,0.189032625050104
"33",1.07,1,1.04,1.03666666666667,0.0351188458428425,0.0202758751009941,2007,2,1.13666666666667,0.189032625050104
"34",1.19,0.9,1,1.03,0.147309198626562,0.0850490054811538,2007,3,1.01333333333333,0.189032625050104
"35",1.44,1.14,1.6,1.39333333333333,0.233523731841827,0.134824989441045,2007,4,1.24666666666667,0.189032625050104
"36",1.27,1.02,0.98,1.09,0.157162336455017,0.0907377172587747,2007,5,1.08666666666667,0.189032625050104
"37",1.12,1.09,1.31,1.17333333333333,0.119303534454489,0.0688799277325727,2007,6,1.09333333333333,0.189032625050104
"38",1.31,1.22,1.22,1.25,0.0519615242270664,0.03,2007,7,1.20666666666667,0.189032625050104
"39",1.36,0.99,1.21,1.18666666666667,0.186100331362771,0.107445076408575,2007,8,1.08666666666667,0.189032625050104
"40",1.42,1.27,1.11,1.26666666666667,0.15502687938978,0.089504810547317,2007,9,1.19666666666667,0.189032625050104
"41",1.083,1.046,1.135,1.088,0.0447101778122163,0.0258134331953991,2008,0,1.08666666666667,0.189032625050104
"42",1.102,0.946,1.201,1.083,0.128557380184881,0.0742226380560541,2008,1,0.983333333333333,0.189032625050104
"43",1.322,1.144,1.309,1.25833333333333,0.0992286920871849,0.0572897120878707,2008,2,1.13666666666667,0.189032625050104
"44",1.41,1.291,1.285,1.32866666666667,0.0705005910140712,0.0407035352000017,2008,3,1.01333333333333,0.189032625050104
"45",1.751,1.368,1.698,1.60566666666667,0.207524295766383,0.119814208024109,2008,4,1.24666666666667,0.189032625050104
"46",1.394,1.27,1.506,1.39,0.11805083650699,0.068156682235371,2008,5,1.08666666666667,0.189032625050104
"47",1.423,1.866,1.755,1.68133333333333,0.230504519116943,0.133081846161593,2008,6,1.09333333333333,0.189032625050104
"48",1.656,1.729,1.261,1.54866666666667,0.251786285038191,0.145368879445056,2008,7,1.20666666666667,0.189032625050104
"49",1.524,1.147,1.569,1.41333333333333,0.231746269297552,0.133798770962633,2008,8,1.08666666666667,0.189032625050104
"50",1.565,2.189,1.465,1.73966666666667,0.392333191730362,0.22651367385755,2008,9,1.19666666666667,0.189032625050104
"51",0.912,1.103,1.034,1.01633333333333,0.0967178025667112,0.0558400493473198,2009,0,1.08666666666667,0.189032625050104
"52",1.207,0.976,1.153,1.112,0.120834597694535,0.0697638875063597,2009,1,0.983333333333333,0.189032625050104
"53",1.291,1.081,1.31,1.22733333333333,0.12708396174708,0.0733719595243608,2009,2,1.13666666666667,0.189032625050104
"54",1.615,1.239,1.341,1.39833333333333,0.194446222214095,0.112263578738214,2009,3,1.01333333333333,0.189032625050104
"55",1.776,1.492,1.858,1.70866666666667,0.192065960891912,0.110889334223109,2009,4,1.24666666666667,0.189032625050104
"56",1.442,1.166,1.407,1.33833333333333,0.150267539187056,0.0867570042001093,2009,5,1.08666666666667,0.189032625050104
"57",1.407,1.193,1.37,1.32333333333333,0.114378028193064,0.0660361853666441,2009,6,1.09333333333333,0.189032625050104
"58",1.668,1.552,1.339,1.51966666666667,0.166866213876067,0.0963402535000009,2009,7,1.20666666666667,0.189032625050104
"59",1.674,1.415,1.52,1.53633333333333,0.13027023195394,0.0752115534860022,2009,8,1.08666666666667,0.189032625050104
"60",1.675,1.678,1.599,1.65066666666667,0.0447697814751573,0.0258478453862428,2009,9,1.19666666666667,0.189032625050104
"61",0.863,0.921,1.24,1.008,0.203,0.117202104645494,2010,0,1.08666666666667,0.189032625050104
"62",1.068,1.141,0.9,1.03633333333333,0.123581282293612,0.0713496865990158,2010,1,0.983333333333333,0.189032625050104
"63",0.985,1.122,1.209,1.10533333333333,0.112926229607356,0.0651979890623766,2010,2,1.13666666666667,0.189032625050104
"64",1.278,1.174,1.464,1.30533333333333,0.146919479080663,0.0848240007964203,2010,3,1.01333333333333,0.189032625050104
"65",1.901,1.417,1.762,1.69333333333333,0.24919938469694,0.143875331836667,2010,4,1.24666666666667,0.189032625050104
"66",0.983,0.938,1.471,1.13066666666667,0.295594880424769,0.170661783784316,2010,5,1.08666666666667,0.189032625050104
"67",1.207,1.14,1.258,1.20166666666667,0.059180514811324,0.0341678861570986,2010,6,1.09333333333333,0.189032625050104
"68",1.338,1.539,1.229,1.36866666666667,0.157258810034075,0.0907934163056135,2010,7,1.20666666666667,0.189032625050104
