"","V1","V2","V3","V4","V5","V6","V7","V8","err_initiale","initiale"
"1",8.51,15,14.4,12.6366666666667,3.58636770749087,2.07059036133284,2005,0,2.11660104885167,12.6366666666667
"2",9.76,8.65,15.1,11.17,3.44843442738875,1.99095454493567,2005,1,2.11660104885167,11.17
"3",10.8,16.5,13.5,13.6,2.85131548587665,1.64620776331543,2005,2,2.11660104885167,13.6
"4",12.7,12.7,13.3,12.9,0.346410161513776,0.2,2005,3,2.11660104885167,12.9
"5",11.6,13.2,14.2,13,1.3114877048604,0.757187779440036,2005,4,2.11660104885167,13
"6",11,11.9,15.5,12.8,2.38117617995813,1.37477270848675,2005,5,2.11660104885167,12.8
"7",9.82,10.8,15.1,11.9066666666667,2.8085820859169,1.62153562334528,2005,6,2.11660104885167,11.9066666666667
"8",14.5,13.2,14.6,14.1,0.781024967590666,0.45092497528229,2005,7,2.11660104885167,14.1
"9",12.4,14.1,13.3,13.2666666666667,0.850490054811538,0.491030662088541,2005,8,2.11660104885167,13.2666666666667
"10",11.2,14.4,15.2,13.6,2.11660104885167,1.22202018532156,2005,9,2.11660104885167,13.6
"11",9.54,13.4,11,11.3133333333333,1.94898264059312,1.12524565219235,2006,0,2.11660104885167,12.6366666666667
"12",9.67,7.66,13.1,10.1433333333333,2.75071505854993,1.58812607951776,2006,1,2.11660104885167,11.17
"13",11,13.8,13.3,12.7,1.49331845230681,0.862167810425171,2006,2,2.11660104885167,13.6
"14",11.3,13.2,13.3,12.6,1.12694276695846,0.650640709864771,2006,3,2.11660104885167,12.9
"15",11.5,13.7,12.6,12.6,1.1,0.635085296108588,2006,4,2.11660104885167,13
"16",12,8.59,11.9,10.83,1.94054116163507,1.12037196204356,2006,5,2.11660104885167,12.8
"17",10.4,7.78,12.1,10.0933333333333,2.17626591512465,1.25646771192542,2006,6,2.11660104885167,11.9066666666667
"18",14.9,9.51,12.8,12.4033333333333,2.71680572241251,1.56854851517078,2006,7,2.11660104885167,14.1
"19",10.7,12.3,12.8,11.9333333333333,1.09696551146029,0.633333333333334,2006,8,2.11660104885167,13.2666666666667
"20",11.1,13.7,13.7,12.8333333333333,1.50111069989303,0.866666666666667,2006,9,2.11660104885167,13.6
"21",12,13.3,12.8,12.7,0.6557438524302,0.378593889720018,2007,0,2.11660104885167,12.6366666666667
"22",10.6,8.46,14.8,11.2866666666667,3.22529585206277,1.86212542840463,2007,1,2.11660104885167,11.17
"23",11.7,14.4,13.6,13.2333333333333,1.38684293751432,0.800694143297621,2007,2,2.11660104885167,13.6
"24",10.5,12.1,13.2,11.9333333333333,1.35769412362775,0.783865067753656,2007,3,2.11660104885167,12.9
"25",12,13.6,12.4,12.6666666666667,0.832666399786453,0.480740170061865,2007,4,2.11660104885167,13
"26",13.3,10.3,14.1,12.5666666666667,2.00333056017556,1.15662343819316,2007,5,2.11660104885167,12.8
"27",10.8,11,13.7,11.8333333333333,1.61967074843418,0.935117342607036,2007,6,2.11660104885167,11.9066666666667
"28",11.8,12.5,13.8,12.7,1.01488915650922,0.585946527708232,2007,7,2.11660104885167,14.1
"29",11.4,12.2,14.2,12.6,1.4422205101856,0.832666399786453,2007,8,2.11660104885167,13.2666666666667
"30",11.5,14.8,14.3,13.5333333333333,1.77857620959388,1.02686145338329,2007,9,2.11660104885167,13.6
"31",10.71,13.607,13.823,12.7133333333333,1.73829581295398,1.00360555554018,2008,0,2.11660104885167,12.6366666666667
"32",11.567,7.685,13.921,11.0576666666667,3.14904578139686,1.81810242957993,2008,1,2.11660104885167,11.17
"33",11.712,13.774,14.073,13.1863333333333,1.28553270410882,0.742202652769294,2008,2,2.11660104885167,13.6
"34",12.928,13.013,14.128,13.3563333333333,0.6696329840542,0.386612783601945,2008,3,2.11660104885167,12.9
"35",12.145,14.172,14.704,13.6736666666667,1.35032304776795,0.779609375121784,2008,4,2.11660104885167,13
"36",11.781,10.071,14.682,12.178,2.33099485198917,1.34580050527558,2008,5,2.11660104885167,12.8
"37",10.093,11.845,14.391,12.1096666666667,2.161188870352,1.24776297606735,2008,6,2.11660104885167,11.9066666666667
"38",13.156,9.7,14.295,12.3836666666667,2.39288117827303,1.38153059241472,2008,7,2.11660104885167,14.1
"39",12.227,12.49,13.332,12.683,0.577228724164001,0.33326315928007,2008,8,2.11660104885167,13.2666666666667
"40",11.777,13.387,14.66,13.2746666666667,1.44477899117247,0.83414353947294,2008,9,2.11660104885167,13.6
"41",10.521,12.609,12.508,11.8793333333333,1.17743464079045,0.679792206813556,2009,0,2.11660104885167,12.6366666666667
"42",9.837,9.205,13.105,10.7156666666667,2.09321316003252,1.20851718141604,2009,1,2.11660104885167,11.17
"43",10.989,14.633,12.68,12.7673333333333,1.82356911942853,1.05283812198795,2009,2,2.11660104885167,13.6
"44",11.561,11.381,13,11.9806666666667,0.887344540375007,0.512308609249455,2009,3,2.11660104885167,12.9
"45",12.004,11.57,15.679,13.0843333333333,2.25750090439258,1.30336875484688,2009,4,2.11660104885167,13
"46",11.787,8.379,12.008,10.7246666666667,2.03441007010222,1.1745672016156,2009,5,2.11660104885167,12.8
"47",12.405,11.237,13.734,12.4586666666667,1.24936477192745,0.72132108738835,2009,6,2.11660104885167,11.9066666666667
